"conceptId","fsn","synonyms"
"8748000","Abrasion AND/OR friction burn of hip with infection (disorder)","Abrasion AND/OR friction burn of hip with infection | Abrasion and/or friction burn of hip with infection"
"88016001","Abrasion AND/OR friction burn of hip without infection (disorder)","Abrasion AND/OR friction burn of hip without infection | Abrasion and/or friction burn of hip without infection"
"79340003","Abrasion AND/OR friction burn of interscapular region with infection (disorder)","Abrasion AND/OR friction burn of interscapular region with infection | Abrasion and/or friction burn of interscapular region with infection"
"37638002","Abrasion AND/OR friction burn of interscapular region without infection (disorder)","Abrasion AND/OR friction burn of interscapular region without infection | Abrasion and/or friction burn of interscapular region without infection"
"39835005","Abrasion AND/OR friction burn of leg with infection (disorder)","Abrasion AND/OR friction burn of leg with infection"
"53625001","Abrasion AND/OR friction burn of leg without infection (disorder)","Abrasion AND/OR friction burn of leg without infection"
"53625001","Abrasion AND/OR friction burn of leg without infection (disorder)","Abrasion AND/OR friction burn of leg without infection"
"10920005","Abrasion AND/OR friction burn of lip with infection (disorder)","Abrasion AND/OR friction burn of lip with infection | Abrasion and/or friction burn of lip with infection"
"63811003","Abrasion AND/OR friction burn of lip without infection (disorder)","Abrasion AND/OR friction burn of lip without infection | Abrasion and/or friction burn of lip without infection"
"429562001","Abrasion AND/OR friction burn of multiple sites (disorder)","Abrasion AND/OR friction burn of multiple sites | Abrasion and/or friction burn of multiple sites"
"429562001","Abrasion AND/OR friction burn of multiple sites (disorder)","Abrasion AND/OR friction burn of multiple sites | Abrasion and/or friction burn of multiple sites"
"428135008","Abrasion AND/OR friction burn of multiple sites, infected (disorder)","Abrasion AND/OR friction burn of multiple sites, infected | Abrasion and/or friction burn of multiple sites, infected"
"428135008","Abrasion AND/OR friction burn of multiple sites, infected (disorder)","Abrasion AND/OR friction burn of multiple sites, infected | Abrasion and/or friction burn of multiple sites, infected"
"84278006","Abrasion AND/OR friction burn of neck with infection (disorder)","Abrasion AND/OR friction burn of neck with infection | Abrasion and/or friction burn of neck with infection"
"54345007","Abrasion AND/OR friction burn of neck without infection (disorder)","Abrasion AND/OR friction burn of neck without infection | Abrasion and/or friction burn of neck without infection"
"54345007","Abrasion AND/OR friction burn of neck without infection (disorder)","Abrasion AND/OR friction burn of neck without infection | Abrasion and/or friction burn of neck without infection"
"72512006","Abrasion AND/OR friction burn of nose with infection (disorder)","Abrasion AND/OR friction burn of nose with infection | Abrasion and/or friction burn of nose with infection"
"30742008","Abrasion AND/OR friction burn of nose without infection (disorder)","Abrasion AND/OR friction burn of nose without infection | Abrasion and/or friction burn of nose without infection"
